"Year","Quarter","LocationAbbr","LocationDesc","TopicType","Topic","MeasureDesc","Sub_Measure","Fee-For-Service Plans","Fee-For-Service_Plans_AltValue","Managed Care Plans","Managed Care Plans_AltValue","Summary","Summary_AltValue","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","GeoLocation","TopicTypeId","TopicId","MeasureId","SubMeasureID","DisplayOrder"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Barriers to Treatments","Lifetime Limits","No","1","Not Applicable","5","No","1",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000BT","MCB018","18"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Barriers to Treatments","Prior Authorization Required","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000BT","MCB013","13"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Barriers to Treatments","Co-Payments Required","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000BT","MCB012","12"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Barriers to Treatments","Barriers to Treatments","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000BT","MCB011","11"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Medicaid Coverage of Cessation Treatments","Varenicline (Chantix®)","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000MCT","MCB010","10"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Medicaid Coverage of Cessation Treatments","Bupropion (Zyban®)","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000MCT","MCB009","9"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Medicaid Coverage of Cessation Treatments","Nicotine Inhaler","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000MCT","MCB008","8"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Medicaid Coverage of Cessation Treatments","Nicotine Nasal Spray","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000MCT","MCB007","7"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Medicaid Coverage of Cessation Treatments","Nicotine Lozenge","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000MCT","MCB006","6"
"2024","2","AL","Alabama","Cessation Coverage","Medicaid Coverage of Cessation Treatments and Barriers to Treatments","Medicaid Coverage of Cessation Treatments","Nicotine Gum","Yes","2","Not Applicable","5","Yes","2",,,"American Lung Association","    (32.840571122, -86.631860762)","MED","910MED","1000MCT","MCB005","5"
