"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId"
"AL","Alabama","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","165,763,113","$","Dollars","POINT (-86.631860762 32.840571122)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"AK","Alaska","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","44,773,153","$","Dollars","POINT (-147.722059036 64.845079957001)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"AZ","Arizona","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","296,712,275","$","Dollars","POINT (-111.763811277 34.86597028)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"AR","Arkansas","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","161,909,335","$","Dollars","POINT (-92.274490743 34.748650124)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"CA","California","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","1,791,254,942","$","Dollars","POINT (-120.999999538 37.638640123)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"CO","Colorado","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","145,551,255","$","Dollars","POINT (-106.133610921 38.843840757)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"CT","Connecticut","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","343,079,595","$","Dollars","POINT (-72.649840952 41.56266102)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"DE","Delaware","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","113,012,160","$","Dollars","POINT (-75.577741168 39.008830667)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"DC","District of Columbia","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","27,419,844","$","Dollars","POINT (-77.031961127 38.890371385)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"FL","Florida","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","1,033,636,106","$","Dollars","POINT (-81.928960539 28.932040377)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"GA","Georgia","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","168,549,095","$","Dollars","POINT (-83.627580346 32.839681093)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"HI","Hawaii","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","102,478,034","$","Dollars","POINT (-157.857749403 21.304850435)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"ID","Idaho","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","35,817,868","$","Dollars","POINT (-114.363730042 43.682630005)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"IL","Illinois","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","739,007,280","$","Dollars","POINT (-88.997710178 40.485010283)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"IN","Indiana","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","371,597,683","$","Dollars","POINT (-86.149960194 39.766910452)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"IA","Iowa","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","178,920,957","$","Dollars","POINT (-93.816490556 42.469400913)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"KS","Kansas","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","116,778,114","$","Dollars","POINT (-98.200781227 38.3477403)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"KY","Kentucky","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","360,354,376","$","Dollars","POINT (-84.774971048 37.645970271)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"LA","Louisiana","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","255,857,940","$","Dollars","POINT (-92.445680071 31.312660644)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"ME","Maine","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","114,109,159","$","Dollars","POINT (-68.985031336 45.254228894001)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"MD","Maryland","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","318,978,500","$","Dollars","POINT (-76.609260111 39.290580964)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"MA","Massachusetts","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","516,455,432","$","Dollars","POINT (-72.082690675 42.27687047)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"MI","Michigan","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","824,738,945","$","Dollars","POINT (-84.71439027 44.661319543001)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"MN","Minnesota","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","499,434,097","$","Dollars","POINT (-94.794200503 46.355648736)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"MS","Mississippi","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","109,232,428","$","Dollars","POINT (-89.538030825 32.745510099)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"MO","Missouri","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","75,182,712","$","Dollars","POINT (-92.566300053 38.635790776)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"MT","Montana","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","67,151,551","$","Dollars","POINT (-109.424420645 47.066528972)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"NE","Nebraska","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","50,168,160","$","Dollars","POINT (-99.365720623 41.641040988001)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"NV","Nevada","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","174,921,930","$","Dollars","POINT (-117.071840564 39.49324039)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"NH","New Hampshire","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","189,399,120","$","Dollars","POINT (-71.50036092 43.655950113)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"NJ","New Jersey","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","579,978,900","$","Dollars","POINT (-74.273691288 40.130570048)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"NM","New Mexico","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","78,666,356","$","Dollars","POINT (-106.240580985 34.520880952)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"NY","New York","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","995,653,069","$","Dollars","POINT (-75.543970427 42.827001032)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"NC","North Carolina","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","241,091,949","$","Dollars","POINT (-79.159250463 35.466220975)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"ND","North Dakota","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","20,034,034","$","Dollars","POINT (-100.118421049 47.475319779)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"OH","Ohio","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","855,373,680","$","Dollars","POINT (-82.404260056 40.060210141)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"OK","Oklahoma","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","342,481,889","$","Dollars","POINT (-97.521070214 35.472031356)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"OR","Oregon","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","194,987,726","$","Dollars","POINT (-120.155031326 44.567449424)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"PA","Pennsylvania","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","1,187,425,200","$","Dollars","POINT (-77.860700294 40.793730152)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"RI","Rhode Island","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","130,740,848","$","Dollars","POINT (-71.522470314 41.708280193)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"SC","South Carolina","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","157,479,471","$","Dollars","POINT (-81.045371207 33.998821303)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"SD","South Dakota","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","47,222,260","$","Dollars","POINT (-100.373530637 44.353130053)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
"TN","Tennessee","2019","OW","The Tax Burden on Tobacco","Cigarette Sales","232,877,687","$","Dollars","POINT (-85.774490914 35.68094058)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS"
