"LocationAbbr","LocationDesc","Year","Datasource","TopicDesc","MeasureDesc","SubMeasureDesc","Data_Value","Data_Value_Unit","Data_Value_Type","GeoLocation","Source","TopicTypeId","TopicId","MeasureId","SubMeasureID","SubMeasureIdDisplayOrder"
"AL","Alabama","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,548","$","Dollars","    (32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AK","Alaska","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","7,605","$","Dollars","    (64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AZ","Arizona","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","6,274","$","Dollars","    (34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"AR","Arkansas","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,288","$","Dollars","    (34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CA","California","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,087","$","Dollars","    (37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CO","Colorado","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,078","$","Dollars","    (38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"CT","Connecticut","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","7,474","$","Dollars","    (41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"DE","Delaware","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,351","$","Dollars","    (39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"DC","District of Columbia","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","6,688","$","Dollars","    (38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"FL","Florida","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","5,475","$","Dollars","    (28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"GA","Georgia","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,531","$","Dollars","    (32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"HI","Hawaii","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","7,447","$","Dollars","    (21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
"ID","Idaho","2009","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack","4,564","$","Dollars","    (43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco","POL","450POL","450CGS","455CGS","1"
