State;2005 ;2006 ;2007 ;2008 ;2009 
United States;53 300;54 000;55 000;54 300;52 700
Alabama;42 500;43 300;44 000;44 600;42 500
Alaska;64 800;66 300;69 800;71 500;70 200
Arizona;51 000;52 700;54 100;53 200;51 100
Arkansas;40 300;40 800;41 400;40 500;39 700
California;61 800;63 200;65 000;63 700;61 800
Colorado;58 400;58 000;59 900;59 500;58 100
Connecticut;70 200;70 700;71 600;71 700;70 300
Delaware;60 500;58 900;59 200;60 600;59 600
District of Columbia;54 400;57 800;58 900;60 500;62 200
Florida;48 900;50 700;51 900;49 900;46 900
Georgia;52 500;52 200;53 300;53 100;49 900
Hawaii;66 900;68 200;69 100;70 200;67 200
Idaho;47 700;47 800;50 200;49 700;47 100
Illinois;57 900;58 000;58 700;58 700;56 600
Indiana;50 700;50 600;51 500;50 100;47 600
Iowa;50 200;49 600;51 300;51 200;50 400
Kansas;49 400;50 700;51 500;52 400;50 100
Kentucky;43 100;43 900;43 700;43 400;42 000
Louisiana;42 300;43 900;44 400;45 700;44 600
Maine;49 300;48 500;49 800;48 700;48 000
Maryland;71 000;72 700;73 800;73 700;72 600
Massachusetts;65 900;66 900;67 600;68 300;67 200
Michigan;53 000;52 600;52 000;50 800;47 500
Minnesota;59 900;60 300;60 500;59 800;58 300
Mississippi;37 900;38 500;39 400;39 500;38 400
Missouri;48 400;47 800;48 900;49 000;47 400
Montana;45 300;45 300;47 200;45 600;44 400
Nebraska;50 500;50 700;51 100;51 900;49 700
Nevada;56 600;59 100;59 700;58 900;55 900
New Hampshire;65 400;66 600;67 700;66 600;63 500
New Jersey;71 100;71 900;72 700;73 500;71 700
New Mexico;43 200;45 300;45 000;45 400;45 100
New York;57 000;57 300;58 000;58 500;57 300
North Carolina;46 900;47 500;48 500;48 600;45 800
North Dakota;47 300;46 800;47 500;47 700;50 200
Ohio;50 100;49 700;50 500;50 100;47 600
Oklahoma;42 700;43 200;45 100;44 700;43 700
Oregon;49 500;51 600;52 900;52 400;50 800
Pennsylvania;51 300;51 600;52 700;53 000;51 900
Rhode Island;59 300;57 800;58 100;58 200;56 700
South Carolina;45 300;45 800;47 000;46 600;44 500
South Dakota;46 400;47 700;47 100;48 100;47 200
Tennessee;44 800;45 000;46 000;45 600;43 800
Texas;48 500;50 100;51 600;52 300;50 600
Utah;55 200;57 200;59 800;59 200;57 800
Vermont;52 600;53 200;54 100;54 400;54 100
Virginia;62 500;62 800;64 600;64 000;62 200
Washington;56 800;58 700;60 300;60 700;59 300
West Virginia;38 500;39 100;40 200;39 700;39 300
Wisconsin;54 300;54 400;54 900;54 400;52 400
Wyoming;53 200;52 900;56 100;55 600;55 200
